# wavelength (nm);intensity
362.6943665;11
363.1203308;5
363.5462952;10
363.9722595;6
364.3982544;2
364.8241577;12
365.2501526;11
365.6761169;8
366.1020508;6
366.5280151;4
366.9539795;10
367.3799133;7
367.8058472;6
368.2318115;9
368.6577454;6
369.0836792;9
369.5095825;3
369.9355164;8
370.3614197;11
370.787384;8
371.2132874;12
371.6391907;10
372.0651245;11
372.4909973;9
372.9169312;13
373.342804;12
373.7686768;15
374.1945801;7
374.6204834;18
375.0463867;11
375.4722595;16
375.8981323;15
376.3240356;10
376.7498779;6
377.1757507;13
377.6016235;10
378.0274963;7
378.4533386;18
378.8792114;12
379.3050537;12
379.7308655;18
380.1567383;16
380.58255;28
381.0083618;24
381.4342041;33
381.8600464;42
382.2858582;45
382.7116699;49
383.1375122;51
383.5632935;45
383.9891052;58
384.4148865;59
384.8406982;58
385.2664795;66
385.6922913;60
386.1180725;55
386.5438232;49
386.969635;47
387.3953552;39
387.821167;22
388.2469482;25
388.6726685;23
389.0984192;30
389.5242004;14
389.9499512;15
390.3757019;15
390.8014221;14
391.2271423;11
391.6528931;11
392.0785828;12
392.504303;7
392.9300232;11
393.3557434;12
393.7814331;11
394.2071228;13
394.6328125;14
395.0585022;12
395.4842224;5
395.9098511;11
396.3355713;8
396.761261;14
397.1868591;7
397.6125488;5
398.038208;12
398.4638672;10
398.8895264;14
399.315155;12
399.7407837;12
400.1664124;6
400.592041;10
401.0176392;16
401.4432983;12
401.8688965;9
402.2944946;13
402.7201233;9
403.1456909;11
403.5713196;8
403.9968567;10
404.4224854;14
404.8480225;8
405.2736206;12
405.6991882;0
406.1247559;8
406.5503235;17
406.9758301;8
407.4013672;6
407.8269348;10
408.2524719;8
408.678009;7
409.1035156;10
409.5290222;7
409.9545288;4
410.3800659;12
410.8055115;14
411.2310181;16
411.6565247;26
412.0819702;13
412.5074768;24
412.9329834;23
413.3583984;25
413.7838745;26
414.2093506;30
414.6347656;34
415.0602417;35
415.4856567;40
415.9110718;51
416.3365173;56
416.7619629;43
417.1873474;47
417.612793;51
418.038147;59
418.4635315;51
418.8889771;48
419.3143311;45
419.7396851;35
420.1651001;34
420.5904541;33
421.0158081;33
421.4411621;39
421.8665161;33
422.2918396;29
422.7171936;29
423.1424866;18
423.5678101;14
423.9931641;15
424.4184265;19
424.84375;16
425.269043;12
425.6943054;13
426.1195984;14
426.5449219;12
426.9701538;20
427.3954163;14
427.8207092;16
428.2459106;15
428.6711731;14
429.096405;19
429.521637;7
429.9468384;10
430.3720703;14
430.7972717;15
431.2225342;15
431.6477051;19
432.072876;7
432.4981079;9
432.9232788;14
433.3484192;6
433.7736206;12
434.1987305;14
434.6239014;17
435.0490417;24
435.4741821;17
435.899292;18
436.3244629;11
436.7495422;28
437.1746521;22
437.599762;31
438.0248413;50
438.4499512;50
438.875;42
439.3000793;29
439.7251587;31
440.1502075;35
440.5752563;49
441.0003052;60
441.425354;52
441.8503418;45
442.2753906;36
442.7004089;28
443.1253662;30
443.550415;26
443.9754028;27
444.4003601;21
444.8253784;22
445.2503052;11
445.6752625;14
446.1002808;12
446.525177;16
446.9501038;16
447.3750916;16
447.7999573;13
448.2248535;18
448.6498108;10
